Year,Offset ID,Type,X,Y,Latitude,Longitude,Size,Capture Efficiency (%),Power Consumption (MW),CO2 Offset (tonnes),Negative CO2 Emissions (tonnes),Cost (€),Operating Cost (€),Total Annual Cost (€),Cost Per Tonne (€)
2038,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1806.44,-1806.44,1444346.16,21665.19,1466011.36,811.55
2038,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,651478821.56,85413.39,651564234.96,1296779.89
2038,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1354.05,-1354.05,1444346.16,21665.19,1466011.36,1082.68
2039,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,630354620.78,84383.74,630439004.51,1521301.78
2039,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,630354620.78,84383.74,630439004.51,2032010.49
2039,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1267.12,-1267.12,1485777.23,22286.66,1508063.89,1190.15
2039,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,97756493.90,8527.60,97765021.50,559249.83
2039,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1870.84,-1870.84,1485777.23,22286.66,1508063.89,806.09
2039,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,630354620.78,84383.74,630439004.51,1254735.27
2039,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1402.33,-1402.33,1485777.23,22286.66,1508063.89,1075.40
2040,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,609915372.20,83366.49,609998738.69,1471977.72
2040,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,609915372.20,83366.49,609998738.69,1966128.09
2040,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1306.59,-1306.59,1528396.75,22925.95,1551322.71,1187.31
2040,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,102551938.71,8859.07,102560797.77,586683.33
2040,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1929.11,-1929.11,1528396.75,22925.95,1551322.71,804.16
2040,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,609915372.20,83366.49,609998738.69,1214053.90
2040,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1446.01,-1446.01,1528396.75,22925.95,1551322.71,1072.83
2041,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,590138866.25,82361.51,590221227.76,1424252.94
2041,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,590138866.25,82361.51,590221227.76,1902381.86
2041,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1342.30,-1342.30,1572238.82,23583.58,1595822.40,1188.87
2041,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,107582624.06,9203.42,107591827.48,615462.57
2041,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1981.84,-1981.84,1572238.82,23583.58,1595822.40,805.22
2041,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,590138866.25,82361.51,590221227.76,1174691.58
2041,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1485.53,-1485.53,1572238.82,23583.58,1595822.40,1074.25
2042,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,571003613.52,81368.64,571084982.15,1378075.58
2042,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,571003613.52,81368.64,571084982.15,1840702.53
2042,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1374.61,-1374.61,1617338.49,24260.08,1641598.56,1194.23
2042,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,112860089.68,9561.16,112869650.84,645653.55
2042,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,2029.55,-2029.55,1617338.49,24260.08,1641598.56,808.85
2042,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,571003613.52,81368.64,571084982.15,1136605.54
2042,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1521.29,-1521.29,1617338.49,24260.08,1641598.56,1079.08
2043,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,552488821.35,80387.74,552569209.09,1333395.48
2043,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,552488821.35,80387.74,552569209.09,1781023.09
2043,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1403.85,-1403.85,1663731.84,24955.98,1688687.82,1202.90
2043,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,118396441.38,9932.80,118406374.18,677325.53
2043,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,2072.72,-2072.72,1663731.84,24955.98,1688687.82,814.72
2043,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,552488821.35,80387.74,552569209.09,1099754.41
2043,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1553.65,-1553.65,1663731.84,24955.98,1688687.82,1086.92
2044,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,534574371.31,79418.67,534653789.98,1290164.08
2044,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,534574371.31,79418.67,534653789.98,1723278.70
2044,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1430.31,-1430.31,1711455.99,25671.84,1737127.83,1214.51
2044,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,124204378.81,10318.89,124214697.70,710551.15
2044,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,2111.78,-2111.78,1711455.99,25671.84,1737127.83,822.59
2044,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,534574371.31,79418.67,534653789.98,1064098.13
2044,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1582.93,-1582.93,1711455.99,25671.84,1737127.83,1097.41
2045,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,517240797.33,78461.27,517319258.60,1248334.42
2045,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,517240797.33,78461.27,517319258.60,1667406.60
2045,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1454.24,-1454.24,1760549.10,26408.24,1786957.34,1228.79
2045,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,130297224.62,10719.98,130307944.60,745406.64
2045,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,2147.12,-2147.12,1760549.10,26408.24,1786957.34,832.26
2045,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,517240797.33,78461.27,517319258.60,1029597.97
2045,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1609.42,-1609.42,1760549.10,26408.24,1786957.34,1110.31
2046,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,500469264.47,77515.42,500546779.89,1207861.03
2046,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,500469264.47,77515.42,500546779.89,1613346.09
2046,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1475.91,-1475.91,1811050.45,27165.76,1838216.21,1245.48
2046,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,136688954.97,11136.67,136700091.64,781971.93
2046,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,2179.10,-2179.10,1811050.45,27165.76,1838216.21,843.57
2046,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,500469264.47,77515.42,500546779.89,996216.43
